DOL,CD,FI3312A
46.833,6.017,29.448
46.875,6.017,28.937
46.958,6.017,28.655
47.000,6.014,28.954
47.042,6.014,28.526
47.083,6.015,29.200
47.125,6.014,29.306
47.167,6.012,28.833
47.208,6.012,29.280
47.250,6.013,28.943
47.292,6.014,29.082
47.375,6.014,29.550
47.417,6.014,29.580
47.458,6.015,29.615
47.500,6.015,29.371
47.542,6.015,29.315
47.583,6.016,29.350
47.625,6.015,29.294
47.667,6.016,28.748
47.708,6.016,29.430
47.750,6.014,28.919
47.792,6.014,29.521
47.833,6.016,29.250
47.875,6.015,29.439
47.958,6.015,28.864
48.000,6.014,29.363
48.042,6.014,28.628
48.083,6.015,29.086
48.125,6.014,29.314
48.167,6.013,28.689
48.208,6.014,28.713
48.250,6.014,29.486
48.292,6.013,29.621
48.375,6.014,29.062
48.417,6.014,29.113
48.458,6.013,29.092
48.500,5.211,28.259
48.542,5.578,28.677
48.583,6.011,29.023
48.625,6.013,29.273
48.667,6.013,29.212
48.708,6.014,29.125
48.750,6.013,29.100
48.792,6.010,29.418
48.833,6.012,28.666
48.875,6.014,28.547
48.958,6.012,29.245
49.000,6.014,28.692
49.042,6.015,28.844
49.083,6.013,28.811
49.125,6.012,29.325
49.167,6.013,29.179
49.208,6.011,28.929
49.250,6.012,28.946
49.292,6.011,28.853
49.375,6.013,29.068
49.417,6.014,28.818
49.458,5.672,29.376
49.500,5.671,29.090
49.542,6.010,28.572
49.583,6.008,29.052
49.625,6.008,28.690
49.667,6.009,29.254
49.708,6.010,28.791
49.750,6.011,29.233
49.792,6.010,29.396
49.833,6.010,29.268
49.875,6.011,29.346
49.958,6.009,29.185
50.000,6.010,29.140
50.042,6.011,28.844
50.083,6.009,29.187
50.125,6.009,29.273
50.167,6.009,29.293
50.208,6.010,28.715
50.250,6.010,28.975
50.292,6.009,28.879
50.375,6.009,29.182
50.417,6.010,29.280
50.458,6.009,29.158
50.500,6.010,28.602
50.542,6.011,29.148
50.583,6.010,28.628
50.625,6.011,29.033
50.667,6.010,28.966
50.708,6.010,29.106
50.750,6.010,29.335
