DOL,CD
57.083,6.014
57.125,6.013
57.167,6.013
57.208,6.014
57.250,6.014
57.292,6.014
57.375,6.014
57.417,6.014
57.458,6.014
57.500,6.015
57.542,6.015
57.583,6.014
57.625,6.014
57.667,6.013
57.708,6.014
57.750,6.014
57.792,6.014
57.833,6.014
57.875,6.012
57.958,6.013
58.000,6.013
58.042,6.013
58.083,6.013
58.125,6.012
58.167,6.011
58.208,6.012
58.250,6.013
58.292,6.012
58.375,6.014
58.417,6.014
58.458,6.014
58.500,6.014
58.542,6.016
58.583,6.015
58.625,6.015
58.667,6.017
58.708,6.017
58.750,6.016
58.792,6.016
58.833,6.014
58.875,6.016
58.958,6.016
59.000,6.016
59.042,6.016
59.083,6.016
59.125,6.013
59.167,6.014
59.208,6.014
59.250,6.014
59.292,6.013
59.375,6.014
59.417,6.016
59.458,6.015
59.500,6.016
59.542,6.016
59.583,6.016
59.625,6.016
59.667,6.015
59.708,6.015
59.750,6.016
59.792,6.015
59.833,6.015
59.875,6.015
59.958,6.015
60.000,6.014
60.042,6.013
60.083,6.011
60.125,6.012
60.167,6.013
60.208,6.013
60.250,6.014
60.292,6.013
60.375,6.014
60.417,6.015
60.458,6.015
60.500,6.015
60.542,6.014
60.583,6.016
60.625,6.015
60.667,6.016
60.708,6.017
60.750,6.015
60.792,6.015
60.833,6.015
60.875,6.015
60.958,6.013
61.000,6.014
61.042,6.015
61.083,6.015
61.125,6.015
61.167,6.016
61.208,6.014
61.250,6.015
61.292,6.016
61.375,6.015
61.417,6.015
61.458,6.017
61.500,6.017
61.542,6.017
61.583,6.016
61.625,6.016
61.667,6.014
61.708,6.016
61.750,6.014
61.792,6.014
61.833,6.015
61.875,6.015
61.958,6.014
62.000,6.015
62.042,6.015
62.083,6.015
62.125,6.014
62.167,6.015
62.208,6.015
62.250,6.015
62.292,6.013
62.375,6.012
62.417,6.014
62.458,6.012
62.500,6.013
62.542,6.015
62.583,6.013
62.625,6.014
62.667,6.013
62.708,6.014
62.750,6.012
62.792,6.014
62.833,6.011
62.875,6.014
62.958,6.014
63.000,6.013
63.042,6.014
63.083,6.014
63.125,6.014
63.167,6.014
63.208,6.014
63.250,6.014
63.292,6.012
63.375,4.247
63.417,2.451
63.458,2.452
63.500,2.451
63.542,2.451
63.583,2.452
63.625,2.453
63.667,2.453
63.708,2.452
63.750,2.452
63.792,2.451
63.833,2.451
63.875,2.452
63.958,6.010
64.000,6.009
64.042,6.010
64.083,6.010
64.125,6.009
64.167,6.009
64.208,6.009
64.250,6.009
64.292,6.009
64.375,2.756
64.417,2.756
64.458,2.757
64.500,2.756
64.542,2.757
64.583,2.757
64.625,2.758
64.667,2.757
64.708,2.757
64.750,2.758
64.792,2.757
64.833,2.757
64.875,2.756
64.958,6.010
65.000,6.008
65.042,6.009
65.083,6.008
65.125,6.008
65.167,6.007
65.208,6.008
65.250,6.008
65.292,6.008
65.375,6.008
65.417,6.010
65.458,6.011
65.500,6.012
65.542,6.012
65.583,6.013
65.625,6.013
65.667,6.011
65.708,6.011
65.750,6.013
65.792,6.012
65.833,6.012
65.875,6.012
65.958,6.011
66.000,6.010
66.042,6.012
66.083,6.010
66.125,6.010
66.167,6.009
66.208,6.009
66.250,6.010
66.292,6.011
66.375,2.726
66.417,2.726
66.458,2.726
66.500,2.727
66.542,2.727
66.583,2.726
66.625,2.726
66.667,3.309
66.708,3.309
66.750,3.308
66.792,3.307
66.833,3.307
66.875,3.308
66.958,6.009
67.000,6.008
67.042,6.009
67.083,6.010
67.125,6.012
67.167,6.010
67.208,6.010
67.250,6.011
67.292,6.010
67.375,3.282
67.417,3.282
67.458,3.283
67.500,3.282
67.542,3.282
67.583,3.282
67.625,3.281
67.667,3.281
67.708,3.280
67.750,3.280
67.792,2.759
67.833,2.758
67.875,2.759
67.958,6.012
68.000,6.012
68.042,6.012
68.083,6.013
68.125,6.011
68.167,6.010
68.208,6.011
68.250,6.012
68.292,6.013
68.375,6.012
68.417,6.015
68.458,6.016
68.500,6.016
68.542,6.015
68.583,6.014
68.625,6.012
68.667,6.012
68.708,6.015
68.750,6.015
68.792,6.016
68.833,6.014
68.875,6.014
68.958,6.014
69.000,6.012
69.042,6.011
69.083,6.012
69.125,6.010
69.167,6.010
69.208,6.012
69.250,6.011
69.292,6.010
69.375,6.014
69.417,6.014
69.458,6.014
69.500,6.015
69.542,6.016
69.583,6.016
69.625,6.016
69.667,6.016
69.708,6.015
69.750,6.015
69.792,6.016
69.833,6.015
69.875,6.015
69.958,6.013
70.000,6.014
70.042,6.014
70.083,6.015
70.125,6.013
70.167,6.014
70.208,6.013
70.250,6.013
70.292,6.013
70.375,3.039
70.417,2.456
70.458,2.455
70.500,2.455
70.542,2.455
70.583,2.455
70.625,2.454
70.667,2.454
70.708,2.454
70.750,2.452
70.792,2.453
70.833,2.452
70.875,2.453
70.958,6.012
71.000,6.012
71.042,6.014
71.083,6.013
71.125,6.013
71.167,6.012
71.208,6.012
71.250,6.011
71.292,6.012
71.375,2.728
71.417,2.453
71.458,2.453
71.500,2.452
71.542,2.453
71.583,2.452
71.625,2.452
71.667,2.452
71.708,2.453
71.750,2.453
71.792,2.452
71.833,2.452
71.875,2.452
71.958,6.013
72.000,6.012
72.042,6.013
72.083,6.011
72.125,6.011
72.167,6.011
72.208,6.012
72.250,6.011
72.292,6.012
72.375,3.219
72.417,2.454
72.458,2.454
72.500,2.454
72.542,2.453
72.583,2.453
72.625,2.453
72.667,2.453
72.708,2.453
72.750,2.453
72.792,2.454
72.833,2.452
72.875,2.452
72.958,6.011
73.000,6.013
73.042,6.012
73.083,6.012
73.125,6.012
73.167,6.012
73.208,6.013
73.250,6.012
73.292,6.013
73.375,2.454
73.417,2.454
73.458,2.454
73.500,2.454
73.542,2.452
73.583,2.453
73.625,2.453
73.667,2.453
73.708,2.453
73.750,2.452
73.792,2.452
73.833,2.453
73.875,2.452
73.958,6.012
74.000,6.013
74.042,6.013
74.083,6.011
74.125,6.011
74.167,6.011
74.208,6.011
74.250,6.012
74.292,6.011
74.375,2.453
74.417,2.453
74.458,2.454
74.500,2.454
74.542,2.454
74.583,2.454
74.625,2.454
74.667,2.453
74.708,2.454
74.750,2.454
74.792,2.453
74.833,2.453
74.875,2.453
74.958,6.012
75.000,6.013
75.042,6.014
75.083,6.012
75.125,6.012
75.167,6.011
75.208,6.012
75.250,6.013
75.292,6.011
75.375,6.013
75.417,6.013
75.458,6.014
75.500,6.014
75.542,6.014
75.583,6.015
75.625,6.015
75.667,6.016
75.708,6.014
75.750,6.016
75.792,6.016
75.833,6.016
75.875,6.016
75.958,6.015
76.000,6.015
76.042,6.015
76.083,6.014
76.125,6.014
76.167,6.014
76.208,6.014
76.250,6.014
76.292,6.013
76.375,6.014
76.417,6.013
76.458,6.014
76.500,6.014
76.542,6.016
76.583,6.014
76.625,6.014
76.667,6.015
76.708,6.014
76.750,6.015
76.792,6.014
76.833,6.014
76.875,6.014
76.958,6.014
77.000,6.012
77.042,6.014
77.083,6.013
77.125,6.014
77.167,6.012
77.208,6.014
77.250,6.012
77.292,6.012
77.375,2.761
77.417,2.760
77.458,2.761
77.500,2.761
77.542,2.759
77.583,2.758
77.625,2.758
77.667,2.759
77.708,2.758
77.750,2.759
77.792,2.759
77.833,2.758
77.875,2.759
77.958,6.012
78.000,6.014
78.042,6.012
78.083,6.011
78.125,6.011
78.167,6.011
78.208,6.013
78.250,6.010
78.292,6.011
78.375,2.759
78.417,2.759
78.458,2.759
78.500,2.759
78.542,2.760
78.583,2.759
78.625,2.759
78.667,2.760
78.708,2.760
78.750,2.760
78.792,2.759
78.833,2.759
78.875,2.759
78.958,6.011
79.000,6.009
79.042,6.009
79.083,6.010
79.125,6.011
79.167,6.011
79.208,6.011
79.250,6.010
79.292,6.010
79.375,2.759
79.417,2.759
79.458,2.759
79.500,2.759
79.542,2.759
79.583,2.759
79.625,2.759
79.667,2.759
79.708,2.759
79.750,2.759
79.792,2.758
79.833,2.758
79.875,2.758
79.958,6.011
80.000,6.009
80.042,6.010
80.083,6.009
80.125,6.009
80.167,6.011
80.208,6.011
80.250,6.013
80.292,6.012
80.375,2.758
80.417,2.758
80.458,2.758
80.500,2.758
80.542,2.758
80.583,2.759
80.625,2.759
80.667,2.758
80.708,2.758
80.750,2.758
