CD,FI3312A,TI3302A
6.005,29.080,89.229
6.005,29.081,89.201
6.003,29.079,89.168
6.003,29.005,89.195
6.005,28.967,89.278
6.006,29.225,89.356
6.009,29.308,89.414
6.011,29.096,89.486
6.011,29.198,89.443
6.010,29.254,89.389
6.012,29.387,89.427
6.013,29.420,89.499
6.013,29.380,89.387
6.012,29.237,89.331
6.011,29.236,89.329
6.012,29.355,89.364
6.011,29.199,89.350
6.010,29.233,89.367
6.009,29.016,89.317
6.009,29.131,89.287
6.008,28.879,89.251
6.009,29.191,89.244
6.008,29.399,89.272
6.008,29.229,89.276
6.008,29.174,89.267
6.007,28.961,89.300
6.009,29.309,89.410
6.011,29.250,89.107
6.012,28.861,88.865
6.012,28.337,89.063
6.014,28.432,89.436
6.013,28.366,89.369
6.012,28.314,89.368
6.012,28.089,89.541
6.013,28.296,89.162
6.013,28.996,88.602
6.012,28.486,89.220
6.012,28.629,89.610
6.013,28.467,89.617
6.012,28.045,89.653
6.009,29.037,89.512
6.011,29.345,89.542
6.012,28.782,89.549
6.010,29.381,89.528
6.011,29.546,89.525
6.011,29.500,89.514
6.010,29.414,89.548
6.010,29.394,89.573
6.012,28.964,89.619
6.013,29.598,89.646
6.013,28.819,89.644
6.013,28.900,89.727
6.015,29.511,89.693
6.016,29.499,89.692
6.016,29.515,89.635
6.014,29.478,89.628
6.015,29.514,89.604
6.013,29.594,89.580
6.012,29.591,89.558
6.013,29.500,89.554
6.011,29.362,89.582
6.011,29.476,89.620
6.014,29.126,89.640
6.014,29.373,89.633
6.013,28.789,89.617
6.014,29.406,89.605
6.013,29.621,89.574
6.011,29.026,89.552
6.011,28.861,89.558
6.012,29.559,89.545
6.014,29.643,89.600
6.015,28.862,89.674
6.017,29.613,89.681
6.015,29.548,89.704
6.015,29.659,89.690
6.017,29.593,89.667
6.017,29.482,89.629
6.015,28.901,89.640
6.014,28.685,89.608
6.013,29.552,89.580
6.014,28.837,89.531
6.013,29.008,89.557
6.014,29.603,89.624
6.012,29.589,89.627
6.013,28.778,89.644
6.014,29.422,89.599
6.013,29.551,89.592
6.013,29.568,89.552
6.014,29.649,89.570
6.013,28.599,89.552
6.013,29.505,89.549
6.013,29.591,89.546
3.677,18.954,87.715
3.678,18.999,87.449
3.678,18.981,87.534
3.678,18.975,87.531
3.679,18.976,87.535
3.678,18.977,87.533
3.678,18.956,87.552
3.677,18.954,87.574
3.677,18.909,87.422
3.677,18.902,87.419
3.677,18.906,87.445
3.678,18.894,87.496
3.677,18.904,87.527
6.012,28.606,88.960
6.013,28.562,88.699
6.010,28.523,88.699
6.010,28.305,88.718
6.012,28.377,88.729
6.013,28.242,88.719
6.012,28.530,88.696
6.011,28.627,88.692
6.011,28.261,88.667
3.677,18.999,87.506
3.677,19.255,87.491
3.679,19.253,87.529
3.678,19.377,87.576
3.678,19.341,87.527
3.677,19.350,87.472
3.679,19.353,87.418
3.677,19.270,87.392
3.676,19.006,86.879
3.676,18.946,86.759
3.676,18.557,86.760
3.675,19.214,87.251
3.676,19.181,88.055
6.012,28.093,89.175
6.010,28.283,88.798
6.011,28.484,88.784
6.011,28.060,88.783
6.012,28.229,88.775
6.011,28.349,88.764
6.011,28.226,88.753
6.010,28.368,88.776
6.012,28.453,88.720
6.011,28.598,88.808
6.014,28.711,88.801
6.013,28.720,88.808
6.014,28.566,88.808
6.014,28.141,88.812
6.015,28.740,88.806
6.012,28.274,89.417
6.013,28.332,89.350
6.014,28.668,89.319
6.014,28.490,89.280
6.013,28.937,89.271
6.012,28.882,89.258
6.012,28.811,89.337
6.012,28.806,89.367
