CV,DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
3.056,17.75,6.013,29.581,31.733,88.754,87.157
3.056,17.792,6.013,28.759,31.59,88.761,87.126
3.056,17.833,6.012,29.202,31.704,88.787,87.183
3.056,17.875,6.013,29.785,31.673,88.784,87.132
3.056,17.958,6.012,29.126,31.405,88.814,87.14
3.056,18,6.012,29.557,31.661,88.786,87.077
3.057,18.042,6.012,28.791,31.468,88.777,87.086
3.056,18.083,6.01,29.557,31.455,88.758,87.11
3.056,18.125,6.012,29.21,31.575,88.758,87.098
3.056,18.167,6.01,28.844,31.709,88.751,87.014
3.056,18.208,6.01,29.37,31.731,88.764,87.12
3.056,18.25,6.01,29.65,31.61,88.759,87.142
3.056,18.292,6.01,28.88,31.494,88.791,87.192
3.056,18.375,6.011,29.533,31.647,88.774,87.22
3.056,18.417,6.011,29.681,31.572,88.806,87.22
3.056,18.458,6.012,29.297,31.622,88.807,87.27
3.056,18.5,6.011,29.524,31.535,88.733,87.126
3.056,18.542,6.01,29.537,31.502,88.625,86.949
3.056,18.583,6.009,29.551,31.41,88.591,86.902
3.057,18.625,6.009,29.432,31.447,88.638,87.039
3.057,18.667,6.009,29.474,31.821,88.728,87.216
3.057,18.708,6.009,29.807,31.817,88.727,87.188
3.056,18.75,6.01,29.388,31.79,88.755,87.135
3.057,18.792,6.011,29.645,31.548,88.757,87.105
3.057,18.833,6.01,29.413,31.799,88.803,87.138
3.057,18.875,6.009,28.95,31.503,88.765,87.089
3.056,18.958,6.01,29.465,31.488,88.721,87.075
3.057,19,6.009,29.523,31.495,88.745,87.096
3.057,19.042,6.009,29.504,31.472,88.739,87.085
3.057,19.083,6.01,29.493,31.434,88.755,87.061
3.057,19.125,6.012,29.334,31.181,88.783,87.086
3.057,19.167,6.011,29.35,31.691,88.766,87.138
3.057,19.208,6.012,29.502,31.57,88.776,87.118
3.057,19.25,6.011,28.884,31.69,88.79,87.107
3.057,19.292,6.009,29.607,31.539,88.804,87.126
3.056,19.375,6.01,29.567,31.465,88.82,87.289
3.056,19.417,6.012,29.121,31.484,88.854,87.268
3.056,19.458,6.013,29.57,31.512,88.849,87.257
3.056,19.5,6.014,29.756,31.727,88.872,87.343
3.056,19.542,6.015,29.204,31.422,88.882,87.326
3.056,19.583,6.014,29.448,31.612,88.865,87.339
3.056,19.625,6.014,29.793,31.702,88.843,87.29
3.056,19.667,6.014,29.051,31.489,88.803,87.279
3.056,19.708,6.013,29.548,31.395,88.774,87.196
3.056,19.75,6.013,28.8,31.61,88.767,87.153
3.056,19.792,6.013,29.766,31.327,88.736,87.108
3.056,19.833,6.013,29.565,31.506,88.78,87.081
3.056,19.875,6.015,29.637,31.459,88.789,87.135
3.056,19.958,6.014,29.347,31.557,88.784,87.263
3.056,20,6.013,29.463,31.644,88.8,87.174
3.056,20.042,6.011,29.521,31.7,88.794,87.191
3.056,20.083,6.012,29.565,31.873,88.774,87.142
3.056,20.125,6.011,29.616,31.603,88.778,87.214
3.056,20.167,6.013,29.228,31.91,88.772,87.231
3.056,20.208,6.011,29.665,31.817,88.752,87.162
3.056,20.25,6.011,29.651,31.741,88.75,87.212
3.056,20.292,6.009,29.745,31.736,88.642,87.07
3.056,20.375,6.012,29.652,31.816,88.801,87.226
3.056,20.417,6.013,29.478,32.003,88.804,87.283
3.056,20.458,6.011,29.697,31.814,88.803,87.234
3.056,20.5,6.016,29.642,31.752,88.862,87.281
3.056,20.542,6.015,29.706,31.876,88.851,87.326
3.056,20.583,6.015,28.958,31.747,88.853,87.233
3.056,20.625,6.014,29.492,31.43,88.756,87.111
3.056,20.667,6.014,29.706,31.636,88.819,87.307
3.056,20.708,6.014,29.56,31.661,88.801,87.212
3.056,20.75,6.012,29.648,31.832,88.814,87.211
3.056,20.792,6.013,29.724,31.625,88.794,87.148
3.057,20.833,6.013,29.43,31.406,88.768,87.127
3.056,20.875,6.014,29.53,31.368,88.81,87.062
3.057,20.958,6.013,29.511,31.481,88.864,87.143
3.057,21,6.012,29.84,31.463,88.814,87.152
3.057,21.042,6.013,29.507,31.607,88.814,87.038
3.057,21.083,6.012,29.55,31.484,88.807,87.117
3.058,21.125,6.011,29.323,30.95,88.558,86.839
3.059,21.167,6.009,29.451,31.072,88.412,86.641
3.058,21.208,6.01,29.88,31.54,88.645,86.994
3.058,21.25,6.01,29.62,31.373,88.686,87.039
3.058,21.292,6.01,28.909,31.402,88.752,87.027
3.058,21.375,6.012,28.94,31.53,88.814,87.148
3.057,21.417,6.011,29.025,31.499,88.827,87.178
3.057,21.458,6.012,29.726,31.373,88.722,87.069
3.057,21.5,6.012,29.892,31.752,88.743,87.166
3.057,21.542,6.013,29.876,31.401,88.793,87.236
3.057,21.583,6.013,29.947,31.402,88.795,87.194
3.057,21.625,6.014,29.89,31.711,88.789,87.235
3.057,21.667,6.013,29.982,31.763,88.798,87.159
3.057,21.708,6.012,29.031,31.512,88.776,87.132
3.057,21.75,6.012,29.894,31.807,88.77,87.142
3.057,21.792,6.012,29.991,31.894,88.722,87.192
3.056,21.833,6.013,29.84,31.774,88.724,87.147
3.057,21.875,6.012,30.008,31.784,88.747,87.176
3.057,21.958,6.012,29.813,31.679,88.815,87.206
3.057,22,6.012,29.829,31.884,88.8,87.2
3.057,22.042,6.013,29.88,31.468,88.774,87.136
3.056,22.083,6.012,29.345,31.367,88.753,87.09
3.057,22.125,6.012,29.858,31.462,88.773,87.094
3.057,22.167,6.011,29.747,31.305,88.751,87.088
3.057,22.208,6.013,29.889,31.412,88.763,87.109
3.057,22.25,6.013,29.387,31.628,88.755,87.117
3.057,22.292,6.012,29.69,31.538,88.784,87.147
3.057,22.375,6.014,29.549,31.612,88.792,87.136
3.057,22.417,6.013,29.694,31.651,88.866,87.242
3.057,22.458,6.013,29.943,31.737,88.846,87.203
3.057,22.5,6.013,29.75,31.892,88.837,87.236
3.057,22.542,6.014,29.836,31.707,88.851,87.298
3.058,22.583,6.014,29.81,31.471,88.826,87.225
3.057,22.625,6.014,29.913,31.663,88.795,87.194
3.056,22.667,6.013,29.746,31.502,88.769,87.122
3.057,22.708,6.013,29.712,31.783,88.756,87.15
3.057,22.75,6.013,29.829,31.519,88.813,87.191
3.058,22.792,6.012,29.958,31.612,88.843,87.145
3.058,22.833,6.013,29.769,31.784,88.819,87.192
3.058,22.875,6.013,29.882,31.494,88.814,87.136
3.058,22.958,6.013,29.559,31.586,88.882,87.182
3.057,23,6.014,29.712,31.533,88.821,87.223
3.057,23.042,6.012,29.778,31.46,88.787,87.093
3.057,23.083,6.012,29.831,31.567,88.745,87.054
3.058,23.125,6.012,29.909,31.561,88.795,87.113
3.058,23.167,6.011,29.797,31.489,88.795,87.161
3.058,23.208,6.012,29.702,31.477,88.802,87.163
3.058,23.25,6.012,29.845,31.451,88.838,87.118
3.06,23.292,6.01,29.229,31.452,88.613,86.93
3.058,23.375,6.01,29.687,31.687,88.69,86.995
3.058,23.417,6.011,29.873,31.732,88.703,87.026
3.058,23.458,6.009,29.682,31.624,88.702,87.002
3.058,23.5,6.011,29.7,31.665,88.74,87.009
