CD,FI3312A,FI3312B,TI3302A
6.009,29.607,31.539,88.804
6.010,29.567,31.465,88.820
6.012,29.121,31.484,88.854
6.013,29.570,31.512,88.849
6.014,29.756,31.727,88.872
6.015,29.204,31.422,88.882
6.014,29.448,31.612,88.865
6.014,29.793,31.702,88.843
6.014,29.051,31.489,88.803
6.013,29.548,31.395,88.774
6.013,28.800,31.610,88.767
6.013,29.766,31.327,88.736
6.013,29.565,31.506,88.780
6.015,29.637,31.459,88.789
6.014,29.347,31.557,88.784
6.013,29.463,31.644,88.800
6.011,29.521,31.700,88.794
6.012,29.565,31.873,88.774
6.011,29.616,31.603,88.778
6.013,29.228,31.910,88.772
6.011,29.665,31.817,88.752
6.011,29.651,31.741,88.750
6.009,29.745,31.736,88.642
6.012,29.652,31.816,88.801
6.013,29.478,32.003,88.804
6.011,29.697,31.814,88.803
6.016,29.642,31.752,88.862
6.015,29.706,31.876,88.851
6.015,28.958,31.747,88.853
6.014,29.492,31.430,88.756
6.014,29.706,31.636,88.819
6.014,29.560,31.661,88.801
6.012,29.648,31.832,88.814
6.013,29.724,31.625,88.794
6.013,29.430,31.406,88.768
6.014,29.530,31.368,88.810
6.013,29.511,31.481,88.864
6.012,29.840,31.463,88.814
6.013,29.507,31.607,88.814
6.012,29.550,31.484,88.807
6.011,29.323,30.950,88.558
6.009,29.451,31.072,88.412
6.010,29.880,31.540,88.645
6.010,29.620,31.373,88.686
6.010,28.909,31.402,88.752
6.012,28.940,31.530,88.814
6.011,29.025,31.499,88.827
6.012,29.726,31.373,88.722
6.012,29.892,31.752,88.743
6.013,29.876,31.401,88.793
6.013,29.947,31.402,88.795
6.014,29.890,31.711,88.789
6.013,29.982,31.763,88.798
6.012,29.031,31.512,88.776
6.012,29.894,31.807,88.770
6.012,29.991,31.894,88.722
6.013,29.840,31.774,88.724
6.012,30.008,31.784,88.747
6.012,29.813,31.679,88.815
6.012,29.829,31.884,88.800
6.013,29.880,31.468,88.774
6.012,29.345,31.367,88.753
6.012,29.858,31.462,88.773
6.011,29.747,31.305,88.751
6.013,29.889,31.412,88.763
6.013,29.387,31.628,88.755
6.012,29.690,31.538,88.784
6.014,29.549,31.612,88.792
6.013,29.694,31.651,88.866
6.013,29.943,31.737,88.846
6.013,29.750,31.892,88.837
6.014,29.836,31.707,88.851
6.014,29.810,31.471,88.826
6.014,29.913,31.663,88.795
6.013,29.746,31.502,88.769
6.013,29.712,31.783,88.756
6.013,29.829,31.519,88.813
6.012,29.958,31.612,88.843
6.013,29.769,31.784,88.819
6.013,29.882,31.494,88.814
6.013,29.559,31.586,88.882
6.014,29.712,31.533,88.821
6.012,29.778,31.460,88.787
6.012,29.831,31.567,88.745
6.012,29.909,31.561,88.795
6.011,29.797,31.489,88.795
6.012,29.702,31.477,88.802
6.012,29.845,31.451,88.838
6.010,29.229,31.452,88.613
6.010,29.687,31.687,88.690
6.011,29.873,31.732,88.703
6.009,29.682,31.624,88.702
6.011,29.700,31.665,88.740
6.011,29.519,31.550,88.861
6.011,29.688,31.806,88.886
6.013,29.658,31.490,88.861
6.012,29.432,31.599,88.864
6.012,29.612,31.561,88.829
6.012,29.234,31.578,88.873
6.012,29.137,31.579,88.801
6.011,29.355,31.247,88.763
6.011,29.839,31.692,88.780
6.015,29.223,31.774,88.772
6.012,29.820,31.674,88.797
6.012,29.864,31.635,88.755
6.012,29.632,31.569,88.734
6.013,29.251,31.569,88.745
6.012,29.774,31.629,88.731
6.012,29.458,31.538,88.732
6.013,29.850,31.382,88.734
6.012,29.828,31.549,88.774
6.012,29.779,31.464,88.800
6.011,29.837,31.384,88.819
6.012,28.960,31.344,88.823
6.013,29.165,31.584,88.874
6.014,28.988,31.571,88.858
6.014,29.866,31.465,88.836
6.013,29.632,31.535,88.802
6.013,29.892,31.485,88.779
6.013,29.794,31.509,88.783
6.014,29.879,31.742,88.767
6.012,29.760,31.318,88.748
6.013,29.833,31.507,88.755
6.012,29.581,31.508,88.738
6.013,29.923,31.641,88.780
6.012,29.805,31.560,88.757
6.012,29.929,31.768,88.774
6.010,30.042,31.617,88.760
6.011,29.624,31.552,88.774
6.011,29.737,31.472,88.794
6.011,29.685,31.625,88.804
6.011,29.795,31.533,88.793
6.013,29.800,31.601,88.809
6.013,29.632,31.569,88.896
6.013,29.927,31.628,88.898
6.013,29.745,31.543,88.861
6.013,29.967,31.523,88.863
6.014,29.680,31.641,88.899
6.014,29.835,31.739,88.912
6.014,29.902,31.640,88.886
6.014,29.106,31.542,88.863
6.012,29.825,31.559,88.812
6.012,29.953,31.404,88.796
6.012,29.880,31.776,88.778
6.012,29.827,31.510,88.801
6.013,29.881,31.617,88.803
6.012,29.723,31.655,88.832
6.014,29.804,31.665,88.830
6.013,29.780,31.547,88.820
6.015,29.824,31.429,88.769
6.015,29.736,31.495,88.784
6.013,29.651,31.521,88.752
6.014,29.802,31.815,88.799
6.012,29.889,31.575,88.785
6.013,29.913,31.651,88.811
6.013,29.889,31.603,88.859
6.013,30.014,31.708,88.894
6.014,29.381,31.516,88.913
6.014,29.884,31.521,88.960
6.015,29.805,31.622,88.982
6.015,29.656,31.828,88.946
6.014,29.671,31.487,89.021
6.015,29.827,31.519,88.878
6.013,29.814,31.535,88.868
6.012,29.620,31.760,88.851
6.012,29.835,31.742,88.849
6.013,29.701,31.453,88.892
6.013,29.968,31.548,88.925
6.013,29.913,31.663,88.836
6.012,29.818,31.510,88.814
6.012,29.673,31.378,88.792
6.014,29.864,31.662,88.793
6.012,29.684,31.559,88.816
6.012,29.837,31.513,88.840
6.012,29.990,31.680,88.830
6.013,29.902,31.491,88.840
6.013,29.907,31.591,88.822
6.014,29.575,31.699,88.844
6.014,29.987,31.561,88.890
6.013,29.971,31.597,88.904
6.015,29.678,31.690,88.971
6.015,29.772,31.848,88.958
6.015,29.872,31.713,88.928
6.014,29.737,31.715,88.900
6.014,29.734,31.555,88.884
6.012,30.046,31.799,88.865
6.014,29.790,31.453,88.838
6.013,29.737,31.674,88.850
6.014,29.760,31.636,88.806
6.015,29.981,31.628,88.836
6.012,29.637,31.596,88.892
6.013,29.738,31.651,88.874
6.012,29.519,31.387,88.865
6.013,29.561,31.655,88.857
6.013,29.132,31.803,88.877
6.014,29.943,31.589,88.835
6.012,29.858,31.723,88.860
6.013,29.158,31.760,88.884
6.013,29.986,31.834,88.901
2.547,15.496,30.883,85.618
2.455,15.722,30.885,85.085
2.331,17.235,30.878,85.072
6.011,28.539,29.879,88.579
6.013,28.528,29.749,88.804
6.012,28.539,30.292,88.589
6.013,28.022,30.227,88.639
6.013,28.458,30.748,88.702
6.014,28.536,30.403,88.680
6.013,28.134,30.608,88.563
6.013,28.091,30.712,88.566
6.012,27.955,30.616,88.701
3.047,16.188,30.184,86.559
2.454,14.097,29.611,84.373
2.454,13.972,29.744,84.099
2.455,13.949,29.995,84.076
2.454,13.973,29.776,84.050
2.453,13.973,29.690,83.987
2.454,13.976,29.674,84.038
2.453,13.893,29.426,84.007
