DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
17.625,6.013,29.428,31.654,88.833,87.294
17.667,6.013,28.829,31.456,88.833,87.301
17.708,6.013,29.487,31.562,88.751,87.262
17.750,6.013,29.581,31.733,88.754,87.157
17.792,6.013,28.759,31.590,88.761,87.126
17.833,6.012,29.202,31.704,88.787,87.183
17.875,6.013,29.785,31.673,88.784,87.132
17.958,6.012,29.126,31.405,88.814,87.140
18.000,6.012,29.557,31.661,88.786,87.077
18.042,6.012,28.791,31.468,88.777,87.086
18.083,6.010,29.557,31.455,88.758,87.110
18.125,6.012,29.210,31.575,88.758,87.098
18.167,6.010,28.844,31.709,88.751,87.014
18.208,6.010,29.370,31.731,88.764,87.120
18.250,6.010,29.650,31.610,88.759,87.142
18.292,6.010,28.880,31.494,88.791,87.192
18.375,6.011,29.533,31.647,88.774,87.220
18.417,6.011,29.681,31.572,88.806,87.220
18.458,6.012,29.297,31.622,88.807,87.270
18.500,6.011,29.524,31.535,88.733,87.126
18.542,6.010,29.537,31.502,88.625,86.949
18.583,6.009,29.551,31.410,88.591,86.902
18.625,6.009,29.432,31.447,88.638,87.039
18.667,6.009,29.474,31.821,88.728,87.216
18.708,6.009,29.807,31.817,88.727,87.188
18.750,6.010,29.388,31.790,88.755,87.135
18.792,6.011,29.645,31.548,88.757,87.105
18.833,6.010,29.413,31.799,88.803,87.138
18.875,6.009,28.950,31.503,88.765,87.089
18.958,6.010,29.465,31.488,88.721,87.075
19.000,6.009,29.523,31.495,88.745,87.096
19.042,6.009,29.504,31.472,88.739,87.085
19.083,6.010,29.493,31.434,88.755,87.061
19.125,6.012,29.334,31.181,88.783,87.086
19.167,6.011,29.350,31.691,88.766,87.138
19.208,6.012,29.502,31.570,88.776,87.118
19.250,6.011,28.884,31.690,88.790,87.107
19.292,6.009,29.607,31.539,88.804,87.126
19.375,6.010,29.567,31.465,88.820,87.289
19.417,6.012,29.121,31.484,88.854,87.268
19.458,6.013,29.570,31.512,88.849,87.257
19.500,6.014,29.756,31.727,88.872,87.343
19.542,6.015,29.204,31.422,88.882,87.326
19.583,6.014,29.448,31.612,88.865,87.339
