DOL,CD,FI3312A,TI3302A
20.667,6.014,29.706,88.819
20.708,6.014,29.560,88.801
20.750,6.012,29.648,88.814
20.792,6.013,29.724,88.794
20.833,6.013,29.430,88.768
20.875,6.014,29.530,88.810
20.958,6.013,29.511,88.864
21.000,6.012,29.840,88.814
21.042,6.013,29.507,88.814
21.083,6.012,29.550,88.807
21.125,6.011,29.323,88.558
21.167,6.009,29.451,88.412
21.208,6.010,29.880,88.645
21.250,6.010,29.620,88.686
21.292,6.010,28.909,88.752
21.375,6.012,28.940,88.814
21.417,6.011,29.025,88.827
21.458,6.012,29.726,88.722
21.500,6.012,29.892,88.743
21.542,6.013,29.876,88.793
21.583,6.013,29.947,88.795
21.625,6.014,29.890,88.789
21.667,6.013,29.982,88.798
21.708,6.012,29.031,88.776
21.750,6.012,29.894,88.770
21.792,6.012,29.991,88.722
21.833,6.013,29.840,88.724
21.875,6.012,30.008,88.747
21.958,6.012,29.813,88.815
22.000,6.012,29.829,88.800
22.042,6.013,29.880,88.774
22.083,6.012,29.345,88.753
22.125,6.012,29.858,88.773
22.167,6.011,29.747,88.751
22.208,6.013,29.889,88.763
22.250,6.013,29.387,88.755
22.292,6.012,29.690,88.784
22.375,6.014,29.549,88.792
22.417,6.013,29.694,88.866
22.458,6.013,29.943,88.846
22.500,6.013,29.750,88.837
22.542,6.014,29.836,88.851
22.583,6.014,29.810,88.826
22.625,6.014,29.913,88.795
22.667,6.013,29.746,88.769
22.708,6.013,29.712,88.756
22.750,6.013,29.829,88.813
22.792,6.012,29.958,88.843
22.833,6.013,29.769,88.819
22.875,6.013,29.882,88.814
22.958,6.013,29.559,88.882
23.000,6.014,29.712,88.821
23.042,6.012,29.778,88.787
23.083,6.012,29.831,88.745
23.125,6.012,29.909,88.795
23.167,6.011,29.797,88.795
23.208,6.012,29.702,88.802
23.250,6.012,29.845,88.838
23.292,6.010,29.229,88.613
23.375,6.010,29.687,88.690
23.417,6.011,29.873,88.703
23.458,6.009,29.682,88.702
23.500,6.011,29.700,88.740
23.542,6.011,29.519,88.861
23.583,6.011,29.688,88.886
23.625,6.013,29.658,88.861
23.667,6.012,29.432,88.864
23.708,6.012,29.612,88.829
23.750,6.012,29.234,88.873
23.792,6.012,29.137,88.801
23.833,6.011,29.355,88.763
23.875,6.011,29.839,88.780
23.958,6.015,29.223,88.772
24.000,6.012,29.820,88.797
24.042,6.012,29.864,88.755
24.083,6.012,29.632,88.734
24.125,6.013,29.251,88.745
24.167,6.012,29.774,88.731
24.208,6.012,29.458,88.732
24.250,6.013,29.850,88.734
24.292,6.012,29.828,88.774
24.375,6.012,29.779,88.800
24.417,6.011,29.837,88.819
24.458,6.012,28.960,88.823
24.500,6.013,29.165,88.874
24.542,6.014,28.988,88.858
24.583,6.014,29.866,88.836
24.625,6.013,29.632,88.802
24.667,6.013,29.892,88.779
24.708,6.013,29.794,88.783
24.750,6.014,29.879,88.767
24.792,6.012,29.760,88.748
24.833,6.013,29.833,88.755
24.875,6.012,29.581,88.738
24.958,6.013,29.923,88.780
25.000,6.012,29.805,88.757
25.042,6.012,29.929,88.774
25.083,6.010,30.042,88.760
25.125,6.011,29.624,88.774
25.167,6.011,29.737,88.794
25.208,6.011,29.685,88.804
25.250,6.011,29.795,88.793
25.292,6.013,29.800,88.809
25.375,6.013,29.632,88.896
25.417,6.013,29.927,88.898
25.458,6.013,29.745,88.861
25.500,6.013,29.967,88.863
25.542,6.014,29.680,88.899
25.583,6.014,29.835,88.912
25.625,6.014,29.902,88.886
25.667,6.014,29.106,88.863
25.708,6.012,29.825,88.812
25.750,6.012,29.953,88.796
25.792,6.012,29.880,88.778
25.833,6.012,29.827,88.801
25.875,6.013,29.881,88.803
25.958,6.012,29.723,88.832
26.000,6.014,29.804,88.830
26.042,6.013,29.780,88.820
26.083,6.015,29.824,88.769
26.125,6.015,29.736,88.784
26.167,6.013,29.651,88.752
26.208,6.014,29.802,88.799
26.250,6.012,29.889,88.785
26.292,6.013,29.913,88.811
26.375,6.013,29.889,88.859
26.417,6.013,30.014,88.894
26.458,6.014,29.381,88.913
26.500,6.014,29.884,88.960
26.542,6.015,29.805,88.982
26.583,6.015,29.656,88.946
26.625,6.014,29.671,89.021
26.667,6.015,29.827,88.878
26.708,6.013,29.814,88.868
26.750,6.012,29.620,88.851
26.792,6.012,29.835,88.849
26.833,6.013,29.701,88.892
26.875,6.013,29.968,88.925
26.958,6.013,29.913,88.836
27.000,6.012,29.818,88.814
27.042,6.012,29.673,88.792
27.083,6.014,29.864,88.793
27.125,6.012,29.684,88.816
27.167,6.012,29.837,88.840
27.208,6.012,29.990,88.830
27.250,6.013,29.902,88.840
27.292,6.013,29.907,88.822
27.375,6.014,29.575,88.844
27.417,6.014,29.987,88.890
27.458,6.013,29.971,88.904
27.500,6.015,29.678,88.971
27.542,6.015,29.772,88.958
27.583,6.015,29.872,88.928
27.625,6.014,29.737,88.900
27.667,6.014,29.734,88.884
27.708,6.012,30.046,88.865
27.750,6.014,29.790,88.838
27.792,6.013,29.737,88.850
27.833,6.014,29.760,88.806
27.875,6.015,29.981,88.836
27.958,6.012,29.637,88.892
28.000,6.013,29.738,88.874
28.042,6.012,29.519,88.865
28.083,6.013,29.561,88.857
28.125,6.013,29.132,88.877
28.167,6.014,29.943,88.835
28.208,6.012,29.858,88.860
28.250,6.013,29.158,88.884
28.292,6.013,29.986,88.901
28.375,2.547,15.496,85.618
28.417,2.455,15.722,85.085
28.458,2.331,17.235,85.072
28.958,6.011,28.539,88.579
29.000,6.013,28.528,88.804
29.042,6.012,28.539,88.589
29.083,6.013,28.022,88.639
29.125,6.013,28.458,88.702
29.167,6.014,28.536,88.680
29.208,6.013,28.134,88.563
29.250,6.013,28.091,88.566
29.292,6.012,27.955,88.701
29.375,3.047,16.188,86.559
29.417,2.454,14.097,84.373
29.458,2.454,13.972,84.099
29.500,2.455,13.949,84.076
29.542,2.454,13.973,84.050
29.583,2.453,13.973,83.987
29.625,2.454,13.976,84.038
29.667,2.453,13.893,84.007
29.708,2.452,13.781,84.037
29.750,2.454,13.851,84.079
29.792,2.452,13.858,84.032
29.833,2.453,13.784,83.983
29.875,2.452,13.747,83.947
29.958,6.012,28.888,88.426
30.000,6.012,28.566,88.906
30.042,6.012,28.278,88.819
30.083,6.013,28.608,88.785
30.125,6.014,28.223,88.807
30.167,6.012,28.359,88.840
30.208,6.014,28.875,88.857
30.250,6.013,28.528,88.902
30.292,6.012,28.434,88.900
30.375,4.294,25.381,89.166
30.417,2.452,14.447,85.107
30.458,2.451,14.397,84.424
30.500,2.454,14.474,84.836
30.542,2.453,14.476,85.091
30.583,2.453,14.416,85.100
30.625,2.452,14.328,85.066
30.667,2.453,14.412,85.244
30.708,2.453,14.446,85.313
30.750,2.453,14.507,85.316
30.792,2.453,14.500,85.275
30.833,2.453,14.492,85.266
30.875,2.453,14.473,85.259
30.958,6.012,30.025,88.721
31.000,6.011,30.045,88.731
31.042,6.012,29.969,88.779
31.083,6.012,29.975,88.846
31.125,6.011,30.036,88.842
31.167,6.011,30.133,88.853
31.208,6.012,30.031,88.880
31.250,6.012,30.106,88.879
31.292,6.013,30.203,88.851
31.375,2.456,14.873,86.254
31.417,2.454,14.511,84.898
31.458,2.455,14.567,84.641
31.500,2.454,14.543,84.436
31.542,2.454,14.424,84.257
31.583,2.452,14.295,84.209
31.625,2.454,14.431,84.333
31.667,2.453,14.490,84.407
31.708,2.453,14.262,84.178
31.750,2.451,14.206,84.125
31.792,2.450,14.210,84.269
31.833,2.451,14.247,84.208
31.875,2.451,14.314,84.178
31.958,6.010,29.725,88.583
32.000,6.010,29.682,88.881
32.042,6.011,29.735,88.926
32.083,6.009,29.627,88.980
32.125,6.011,29.938,88.969
32.167,6.011,29.572,88.959
32.208,6.010,29.863,88.965
32.250,6.009,29.761,88.984
32.292,6.011,29.943,88.835
32.375,3.372,18.977,86.505
32.417,2.452,13.220,84.218
32.458,2.454,13.314,83.729
32.500,2.455,13.367,83.624
32.542,2.456,13.552,83.621
32.583,2.456,13.592,83.645
32.625,2.455,14.006,83.732
32.667,2.455,14.140,84.240
32.708,2.455,14.100,84.244
32.750,2.454,14.074,84.287
32.792,2.455,14.030,84.234
32.833,2.454,14.023,84.173
32.875,2.453,13.964,84.060
32.958,6.010,29.561,88.979
33.000,6.010,28.799,88.883
33.042,6.011,29.264,88.944
33.083,6.011,29.392,89.050
33.125,6.011,29.243,89.065
33.167,6.008,28.773,89.028
33.208,6.008,29.241,88.983
33.250,6.010,29.291,88.950
33.292,6.010,29.094,88.974
33.375,6.010,29.171,89.081
33.417,6.008,29.270,89.071
33.458,6.012,29.215,89.139
33.500,6.011,28.541,89.182
33.542,6.012,29.190,89.133
33.583,6.013,28.871,89.105
33.625,6.010,29.234,89.091
33.667,6.012,29.182,89.062
33.708,6.010,29.097,89.018
33.750,6.010,29.027,89.020
33.792,6.009,28.429,88.983
33.833,6.008,29.008,88.977
33.875,6.007,29.036,88.970
33.958,6.006,29.088,88.968
34.000,6.006,29.161,88.926
34.042,6.005,29.094,89.206
34.083,6.006,29.192,89.271
34.125,6.006,29.207,89.285
34.167,6.005,29.080,89.229
34.208,6.005,29.081,89.201
34.250,6.003,29.079,89.168
34.292,6.003,29.005,89.195
34.375,6.005,28.967,89.278
34.417,6.006,29.225,89.356
34.458,6.009,29.308,89.414
34.500,6.011,29.096,89.486
34.542,6.011,29.198,89.443
34.583,6.010,29.254,89.389
34.625,6.012,29.387,89.427
34.667,6.013,29.420,89.499
34.708,6.013,29.380,89.387
34.750,6.012,29.237,89.331
34.792,6.011,29.236,89.329
34.833,6.012,29.355,89.364
34.875,6.011,29.199,89.350
34.958,6.010,29.233,89.367
35.000,6.009,29.016,89.317
35.042,6.009,29.131,89.287
35.083,6.008,28.879,89.251
35.125,6.009,29.191,89.244
35.167,6.008,29.399,89.272
35.208,6.008,29.229,89.276
35.250,6.008,29.174,89.267
35.292,6.007,28.961,89.300
35.375,6.009,29.309,89.410
35.417,6.011,29.250,89.107
35.458,6.012,28.861,88.865
35.500,6.012,28.337,89.063
35.542,6.014,28.432,89.436
35.583,6.013,28.366,89.369
35.625,6.012,28.314,89.368
35.667,6.012,28.089,89.541
35.708,6.013,28.296,89.162
35.750,6.013,28.996,88.602
35.792,6.012,28.486,89.220
35.833,6.012,28.629,89.610
35.875,6.013,28.467,89.617
35.958,6.012,28.045,89.653
36.000,6.009,29.037,89.512
36.042,6.011,29.345,89.542
36.083,6.012,28.782,89.549
36.125,6.010,29.381,89.528
36.167,6.011,29.546,89.525
36.208,6.011,29.500,89.514
36.250,6.010,29.414,89.548
36.292,6.010,29.394,89.573
36.375,6.012,28.964,89.619
36.417,6.013,29.598,89.646
36.458,6.013,28.819,89.644
36.500,6.013,28.900,89.727
36.542,6.015,29.511,89.693
36.583,6.016,29.499,89.692
36.625,6.016,29.515,89.635
36.667,6.014,29.478,89.628
36.708,6.015,29.514,89.604
36.750,6.013,29.594,89.580
36.792,6.012,29.591,89.558
36.833,6.013,29.500,89.554
36.875,6.011,29.362,89.582
36.958,6.011,29.476,89.620
37.000,6.014,29.126,89.640
37.042,6.014,29.373,89.633
37.083,6.013,28.789,89.617
37.125,6.014,29.406,89.605
37.167,6.013,29.621,89.574
37.208,6.011,29.026,89.552
37.250,6.011,28.861,89.558
37.292,6.012,29.559,89.545
37.375,6.014,29.643,89.600
37.417,6.015,28.862,89.674
37.458,6.017,29.613,89.681
37.500,6.015,29.548,89.704
37.542,6.015,29.659,89.690
37.583,6.017,29.593,89.667
37.625,6.017,29.482,89.629
37.667,6.015,28.901,89.640
37.708,6.014,28.685,89.608
37.750,6.013,29.552,89.580
37.792,6.014,28.837,89.531
37.833,6.013,29.008,89.557
37.875,6.014,29.603,89.624
37.958,6.012,29.589,89.627
38.000,6.013,28.778,89.644
38.042,6.014,29.422,89.599
38.083,6.013,29.551,89.592
38.125,6.013,29.568,89.552
38.167,6.014,29.649,89.570
38.208,6.013,28.599,89.552
38.250,6.013,29.505,89.549
38.292,6.013,29.591,89.546
38.375,3.677,18.954,87.715
38.417,3.678,18.999,87.449
38.458,3.678,18.981,87.534
38.500,3.678,18.975,87.531
38.542,3.679,18.976,87.535
38.583,3.678,18.977,87.533
38.625,3.678,18.956,87.552
38.667,3.677,18.954,87.574
38.708,3.677,18.909,87.422
38.750,3.677,18.902,87.419
38.792,3.677,18.906,87.445
38.833,3.678,18.894,87.496
38.875,3.677,18.904,87.527
38.958,6.012,28.606,88.960
39.000,6.013,28.562,88.699
39.042,6.010,28.523,88.699
39.083,6.010,28.305,88.718
39.125,6.012,28.377,88.729
39.167,6.013,28.242,88.719
39.208,6.012,28.530,88.696
39.250,6.011,28.627,88.692
39.292,6.011,28.261,88.667
39.375,3.677,18.999,87.506
39.417,3.677,19.255,87.491
39.458,3.679,19.253,87.529
39.500,3.678,19.377,87.576
39.542,3.678,19.341,87.527
39.583,3.677,19.350,87.472
39.625,3.679,19.353,87.418
39.667,3.677,19.270,87.392
39.708,3.676,19.006,86.879
39.750,3.676,18.946,86.759
39.792,3.676,18.557,86.760
39.833,3.675,19.214,87.251
39.875,3.676,19.181,88.055
39.958,6.012,28.093,89.175
40.000,6.010,28.283,88.798
40.042,6.011,28.484,88.784
40.083,6.011,28.060,88.783
40.125,6.012,28.229,88.775
40.167,6.011,28.349,88.764
40.208,6.011,28.226,88.753
40.250,6.010,28.368,88.776
40.292,6.012,28.453,88.720
40.375,6.011,28.598,88.808
40.417,6.014,28.711,88.801
40.458,6.013,28.720,88.808
40.500,6.014,28.566,88.808
40.542,6.014,28.141,88.812
40.583,6.015,28.740,88.806
40.625,6.012,28.274,89.417
40.667,6.013,28.332,89.350
40.708,6.014,28.668,89.319
40.750,6.014,28.490,89.280
40.792,6.013,28.937,89.271
40.833,6.012,28.882,89.258
40.875,6.012,28.811,89.337
40.958,6.012,28.806,89.367
