DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
357.708,2.759,14.307,30.173,80.021,79.584
357.750,2.757,14.278,30.032,79.966,79.474
357.792,2.757,14.283,29.966,79.974,79.501
357.833,2.757,14.267,30.040,80.081,79.600
357.875,2.757,14.263,30.281,80.141,79.609
357.958,5.949,29.816,30.624,86.908,85.738
358.000,5.951,29.789,30.567,87.467,86.311
358.042,5.951,29.829,30.345,87.532,86.239
358.083,5.951,29.933,30.446,87.530,86.325
358.125,5.952,29.914,30.405,87.492,86.193
358.167,5.951,29.697,30.243,87.471,86.230
358.208,5.951,29.936,30.396,87.519,86.238
358.250,5.950,29.587,30.364,87.520,86.247
358.292,5.951,30.092,30.329,87.506,86.191
358.375,2.758,14.076,29.786,83.815,83.254
358.417,2.759,14.055,30.232,81.211,80.827
358.458,2.759,14.051,30.311,80.018,79.599
358.500,2.759,14.115,30.292,79.617,79.259
358.542,2.759,14.134,30.671,79.534,79.144
358.583,2.760,14.077,30.055,79.397,78.987
358.625,2.759,14.037,30.347,79.273,78.841
358.667,2.759,13.991,30.103,79.197,78.743
358.708,2.757,14.003,30.117,79.189,78.700
