DOL,CD,TI3302A
41.250,6.012,89.385
41.292,6.012,89.646
41.375,6.012,89.651
41.417,6.013,89.671
41.458,6.012,89.628
41.500,6.013,89.630
41.542,6.013,89.675
41.583,6.013,89.682
41.625,6.013,89.618
41.667,6.013,89.664
41.708,6.013,89.679
41.750,6.014,89.588
41.792,6.015,89.634
41.833,6.012,89.650
41.875,6.012,89.636
41.958,6.014,89.646
42.000,6.014,89.637
42.042,6.014,89.638
42.083,6.012,89.609
42.125,6.013,89.595
42.167,6.014,89.610
42.208,6.012,89.642
42.250,6.012,89.636
42.292,6.011,89.654
42.375,6.012,88.721
42.417,6.012,88.729
42.458,6.013,88.748
42.500,6.013,88.733
42.542,6.013,88.738
42.583,6.013,88.709
42.625,6.014,88.736
42.667,6.013,88.705
42.708,6.012,88.701
42.750,6.013,88.902
42.792,6.012,88.985
42.833,6.013,89.009
42.875,6.013,88.997
42.958,6.012,88.994
43.000,6.013,88.997
43.042,6.014,89.004
43.083,6.015,89.002
43.125,6.014,88.983
43.167,6.014,88.965
43.208,6.013,88.980
43.250,6.012,88.990
43.292,6.013,88.907
43.375,6.012,89.039
43.417,6.013,89.037
43.458,6.013,89.075
43.500,6.013,88.982
43.542,6.015,88.695
43.583,6.015,88.680
43.625,6.016,88.709
43.667,6.015,88.680
43.708,6.014,88.638
43.750,6.015,88.617
43.792,6.014,88.613
43.833,6.014,88.624
43.875,6.014,88.580
43.958,6.014,88.773
44.000,6.014,88.992
44.042,6.014,89.001
44.083,6.014,88.983
44.125,6.012,88.977
44.167,6.012,88.969
44.208,6.013,88.965
44.250,6.015,88.977
44.292,6.012,88.964
44.375,6.012,88.996
44.417,6.013,88.972
44.458,6.013,89.018
44.500,6.015,89.053
44.542,6.017,88.992
44.583,6.013,89.029
44.625,6.014,89.100
44.667,6.015,88.757
44.708,6.014,88.683
44.750,6.015,88.678
44.792,6.015,88.670
44.833,6.014,88.679
44.875,6.013,88.638
44.958,6.015,88.645
45.000,6.013,88.625
45.042,6.013,88.646
45.083,6.014,88.643
45.125,6.014,88.621
45.167,6.012,88.621
45.208,6.013,88.629
45.250,6.014,88.639
45.292,6.012,88.656
45.375,6.013,88.675
45.417,6.013,88.754
45.458,6.014,88.789
45.500,6.014,88.795
45.542,6.014,88.807
45.583,6.015,88.750
45.625,6.016,88.739
45.667,6.016,88.700
45.708,6.014,88.705
45.750,6.016,88.702
45.792,6.015,88.695
45.833,6.016,88.705
45.875,6.014,88.707
45.958,6.012,88.644
46.000,6.014,88.665
46.042,6.014,88.663
46.083,6.015,88.672
46.125,6.014,88.651
46.167,6.014,88.652
46.208,6.014,88.652
46.250,6.016,88.637
46.292,6.017,88.630
46.375,6.014,88.664
46.417,6.014,88.707
46.458,6.018,88.693
46.500,6.016,88.646
46.542,6.018,88.705
46.583,6.017,88.681
46.625,6.015,88.716
46.667,6.016,88.707
46.708,6.015,88.672
46.750,6.019,88.639
46.792,6.016,88.604
46.833,6.017,88.593
46.875,6.017,88.598
46.958,6.017,88.605
47.000,6.014,88.590
47.042,6.014,88.594
47.083,6.015,88.580
47.125,6.014,88.604
47.167,6.012,88.605
47.208,6.012,88.613
47.250,6.013,88.674
47.292,6.014,88.665
47.375,6.014,88.638
47.417,6.014,88.673
47.458,6.015,88.664
47.500,6.015,88.661
47.542,6.015,88.714
47.583,6.016,88.720
47.625,6.015,88.719
47.667,6.016,88.679
47.708,6.016,88.671
47.750,6.014,88.615
47.792,6.014,88.634
47.833,6.016,88.599
47.875,6.015,88.597
47.958,6.015,88.592
48.000,6.014,88.599
48.042,6.014,88.609
48.083,6.015,88.605
48.125,6.014,88.611
48.167,6.013,88.627
48.208,6.014,88.541
48.250,6.014,88.615
48.292,6.013,88.606
48.375,6.014,88.641
48.417,6.014,88.654
48.458,6.013,88.636
48.500,5.211,86.310
48.542,5.578,87.641
48.583,6.011,88.975
48.625,6.013,89.048
48.667,6.013,89.041
48.708,6.014,88.966
48.750,6.013,88.948
48.792,6.010,88.992
48.833,6.012,89.019
48.875,6.014,89.047
48.958,6.012,89.044
49.000,6.014,88.946
49.042,6.015,88.965
49.083,6.013,88.955
49.125,6.012,88.925
49.167,6.013,88.927
49.208,6.011,88.932
49.250,6.012,88.929
49.292,6.011,88.986
49.375,6.013,89.099
49.417,6.014,89.061
49.458,5.672,88.002
49.500,5.671,88.108
49.542,6.010,89.243
49.583,6.008,89.281
49.625,6.008,89.061
49.667,6.009,89.045
49.708,6.010,89.050
49.750,6.011,89.036
49.792,6.010,89.037
49.833,6.010,89.033
49.875,6.011,88.968
49.958,6.009,89.053
50.000,6.010,89.069
50.042,6.011,89.057
50.083,6.009,89.053
50.125,6.009,89.044
50.167,6.009,89.065
50.208,6.010,89.067
50.250,6.010,89.060
50.292,6.009,89.049
50.375,6.009,89.043
50.417,6.010,89.067
50.458,6.009,89.051
50.500,6.010,89.057
50.542,6.011,89.094
50.583,6.010,89.080
50.625,6.011,88.993
50.667,6.010,89.058
50.708,6.010,88.945
50.750,6.010,88.965
50.792,6.012,89.001
50.833,6.011,88.982
50.875,6.011,88.984
50.958,6.011,88.977
51.000,6.010,89.268
51.042,6.012,89.321
51.083,6.011,89.310
51.125,6.011,89.334
51.167,6.011,89.355
51.208,6.010,89.318
51.250,6.010,89.254
51.292,6.010,89.261
51.375,6.011,89.342
51.417,6.014,89.385
51.458,6.014,89.373
51.500,6.014,89.323
51.542,6.014,89.406
51.583,6.013,89.433
51.625,6.014,89.140
51.667,6.014,89.030
51.708,6.013,88.990
51.750,6.013,88.966
51.792,6.014,89.005
51.833,6.014,88.996
51.875,6.014,89.019
51.958,6.014,89.286
52.000,6.013,89.307
52.042,6.014,89.288
52.083,6.015,89.297
52.125,6.013,89.286
52.167,6.012,89.275
52.208,6.012,89.298
52.250,6.012,89.261
52.292,6.011,89.319
52.375,6.012,89.376
52.417,6.013,89.343
52.458,6.012,89.382
52.500,6.013,89.366
52.542,6.013,89.365
52.583,6.014,89.354
52.625,6.012,89.363
52.667,6.012,89.352
52.708,6.013,89.357
52.750,6.013,89.336
52.792,6.012,89.317
52.833,6.012,89.319
52.875,6.014,89.322
52.958,6.012,89.336
53.000,6.012,89.341
53.042,6.013,89.314
53.083,6.014,89.315
53.125,6.014,89.313
53.167,6.014,89.321
53.208,6.013,89.346
53.250,6.013,89.360
53.292,6.013,89.360
53.375,6.014,89.414
53.417,6.014,89.392
53.458,6.014,89.417
53.500,6.015,89.450
53.542,6.014,89.474
53.583,6.015,89.465
53.625,6.014,89.394
53.667,6.014,89.347
53.708,6.015,89.029
53.750,6.014,89.012
53.792,6.014,89.051
53.833,6.013,89.074
53.875,6.014,89.092
53.958,6.014,89.079
54.000,6.014,89.043
54.042,6.014,89.052
54.083,6.013,89.011
54.125,6.014,89.016
54.167,6.013,89.015
54.208,6.015,89.026
