DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
267.667,2.451,14.160,30.018,82.196,81.638
267.708,2.452,14.102,30.061,82.129,81.477
267.750,2.451,14.107,30.008,82.115,81.443
267.792,2.451,14.145,30.067,82.111,81.525
267.833,2.451,14.114,29.968,82.106,81.485
267.875,2.450,14.112,30.297,82.228,81.536
267.958,2.451,14.106,30.112,82.256,81.606
268.000,2.451,14.549,30.072,82.284,81.634
268.042,2.451,14.398,30.229,82.243,81.598
268.083,2.450,14.387,30.253,82.198,81.567
268.125,2.452,14.354,29.931,82.164,81.496
268.167,2.452,14.352,30.189,82.117,81.524
268.208,2.453,14.327,30.030,82.151,81.541
268.250,2.453,14.405,30.223,82.178,81.622
268.292,2.452,14.341,30.108,82.166,81.632
268.375,2.758,15.524,29.944,82.835,82.163
268.417,2.758,15.578,29.897,83.147,82.586
268.458,2.758,15.625,30.069,83.357,82.677
268.500,2.759,15.596,30.092,83.429,82.687
268.542,2.759,15.598,29.858,83.452,82.716
268.583,2.759,15.636,30.107,83.402,82.705
268.625,2.759,15.674,30.054,83.360,82.712
268.667,2.759,15.656,29.963,83.345,82.637
268.708,2.760,15.683,30.034,83.320,82.667
268.750,5.951,29.580,30.602,87.504,86.155
268.792,5.951,29.664,30.800,87.355,86.023
268.833,5.951,28.995,30.979,87.203,85.791
268.875,5.952,27.462,30.636,87.408,85.975
268.958,5.952,27.819,30.532,87.360,85.847
269.000,5.951,28.242,30.600,87.356,85.892
269.042,5.950,27.936,30.742,87.410,85.906
269.083,5.950,27.923,30.602,87.279,85.791
269.125,5.951,27.622,30.663,87.144,85.550
269.167,5.950,27.551,30.579,87.101,85.628
269.208,5.949,27.584,30.510,87.097,85.572
269.250,5.950,28.198,30.631,87.263,85.637
269.292,5.948,28.184,30.583,86.733,85.249
269.375,5.949,28.208,30.359,86.591,85.078
269.417,5.947,27.568,30.490,86.786,85.349
269.458,3.676,22.739,30.427,83.630,82.516
