DOL,CD,FI3312B,TI3302A
23.542,6.011,31.550,88.861
23.583,6.011,31.806,88.886
23.625,6.013,31.490,88.861
23.667,6.012,31.599,88.864
23.708,6.012,31.561,88.829
23.750,6.012,31.578,88.873
23.792,6.012,31.579,88.801
23.833,6.011,31.247,88.763
23.875,6.011,31.692,88.780
23.958,6.015,31.774,88.772
24.000,6.012,31.674,88.797
24.042,6.012,31.635,88.755
24.083,6.012,31.569,88.734
24.125,6.013,31.569,88.745
24.167,6.012,31.629,88.731
24.208,6.012,31.538,88.732
24.250,6.013,31.382,88.734
24.292,6.012,31.549,88.774
24.375,6.012,31.464,88.800
24.417,6.011,31.384,88.819
24.458,6.012,31.344,88.823
24.500,6.013,31.584,88.874
24.542,6.014,31.571,88.858
24.583,6.014,31.465,88.836
24.625,6.013,31.535,88.802
24.667,6.013,31.485,88.779
24.708,6.013,31.509,88.783
24.750,6.014,31.742,88.767
24.792,6.012,31.318,88.748
24.833,6.013,31.507,88.755
24.875,6.012,31.508,88.738
24.958,6.013,31.641,88.780
25.000,6.012,31.560,88.757
25.042,6.012,31.768,88.774
25.083,6.010,31.617,88.760
25.125,6.011,31.552,88.774
25.167,6.011,31.472,88.794
25.208,6.011,31.625,88.804
25.250,6.011,31.533,88.793
25.292,6.013,31.601,88.809
25.375,6.013,31.569,88.896
25.417,6.013,31.628,88.898
25.458,6.013,31.543,88.861
25.500,6.013,31.523,88.863
25.542,6.014,31.641,88.899
25.583,6.014,31.739,88.912
25.625,6.014,31.640,88.886
25.667,6.014,31.542,88.863
25.708,6.012,31.559,88.812
25.750,6.012,31.404,88.796
25.792,6.012,31.776,88.778
25.833,6.012,31.510,88.801
25.875,6.013,31.617,88.803
25.958,6.012,31.655,88.832
26.000,6.014,31.665,88.830
26.042,6.013,31.547,88.820
26.083,6.015,31.429,88.769
26.125,6.015,31.495,88.784
26.167,6.013,31.521,88.752
26.208,6.014,31.815,88.799
26.250,6.012,31.575,88.785
