DOL,CD,FI3312B
42.208,6.012,30.225
42.250,6.012,30.109
42.292,6.011,30.256
42.375,6.012,30.335
42.417,6.012,30.100
42.458,6.013,30.281
42.500,6.013,30.006
42.542,6.013,30.081
42.583,6.013,30.369
42.625,6.014,30.186
42.667,6.013,30.154
42.708,6.012,30.219
42.750,6.013,30.279
42.792,6.012,30.162
42.833,6.013,30.132
42.875,6.013,30.316
42.958,6.012,30.311
43.000,6.013,30.207
43.042,6.014,30.338
43.083,6.015,30.304
43.125,6.014,30.119
43.167,6.014,30.265
43.208,6.013,30.164
43.250,6.012,30.171
43.292,6.013,30.173
43.375,6.012,30.034
43.417,6.013,30.160
43.458,6.013,30.080
43.500,6.013,30.252
43.542,6.015,30.198
43.583,6.015,30.072
43.625,6.016,30.231
43.667,6.015,30.169
43.708,6.014,30.225
43.750,6.015,30.000
43.792,6.014,30.154
43.833,6.014,30.066
43.875,6.014,30.155
43.958,6.014,29.964
44.000,6.014,30.173
44.042,6.014,29.973
44.083,6.014,29.992
44.125,6.012,30.266
44.167,6.012,30.072
44.208,6.013,29.755
44.250,6.015,30.074
44.292,6.012,29.922
44.375,6.012,30.134
44.417,6.013,30.168
44.458,6.013,29.880
44.500,6.015,29.869
44.542,6.017,30.271
44.583,6.013,30.147
44.625,6.014,30.094
44.667,6.015,30.077
44.708,6.014,30.118
44.750,6.015,30.180
44.792,6.015,30.231
44.833,6.014,30.377
44.875,6.013,30.140
44.958,6.015,30.372
45.000,6.013,30.066
45.042,6.013,30.177
45.083,6.014,30.231
45.125,6.014,30.091
45.167,6.012,30.226
45.208,6.013,30.223
45.250,6.014,30.088
45.292,6.012,30.068
45.375,6.013,30.121
45.417,6.013,30.105
45.458,6.014,30.297
45.500,6.014,30.170
45.542,6.014,30.119
45.583,6.015,29.963
45.625,6.016,30.060
45.667,6.016,30.016
45.708,6.014,30.196
45.750,6.016,30.326
45.792,6.015,30.227
45.833,6.016,30.256
45.875,6.014,30.319
45.958,6.012,30.335
46.000,6.014,30.076
46.042,6.014,30.249
46.083,6.015,30.134
46.125,6.014,30.117
46.167,6.014,30.092
46.208,6.014,30.406
46.250,6.016,30.101
46.292,6.017,30.205
46.375,6.014,30.052
46.417,6.014,29.957
46.458,6.018,29.850
46.500,6.016,30.117
46.542,6.018,30.224
46.583,6.017,29.761
46.625,6.015,30.058
46.667,6.016,30.238
46.708,6.015,29.892
46.750,6.019,30.123
46.792,6.016,29.939
46.833,6.017,30.164
46.875,6.017,30.131
46.958,6.017,30.027
47.000,6.014,29.950
47.042,6.014,29.990
47.083,6.015,30.159
47.125,6.014,29.963
47.167,6.012,29.810
47.208,6.012,29.751
47.250,6.013,29.960
47.292,6.014,29.876
47.375,6.014,30.164
47.417,6.014,29.950
47.458,6.015,29.861
47.500,6.015,29.906
47.542,6.015,29.966
47.583,6.016,29.951
47.625,6.015,30.279
47.667,6.016,29.929
47.708,6.016,29.893
47.750,6.014,29.987
47.792,6.014,30.133
47.833,6.016,29.832
47.875,6.015,30.131
47.958,6.015,30.101
48.000,6.014,30.078
48.042,6.014,30.110
48.083,6.015,30.114
48.125,6.014,29.954
48.167,6.013,30.021
48.208,6.014,30.017
48.250,6.014,30.003
48.292,6.013,29.777
48.375,6.014,29.896
48.417,6.014,29.827
48.458,6.013,29.881
48.500,5.211,29.159
48.542,5.578,29.793
48.583,6.011,29.936
48.625,6.013,30.032
48.667,6.013,29.770
48.708,6.014,30.052
48.750,6.013,30.218
48.792,6.010,30.144
48.833,6.012,30.233
48.875,6.014,30.091
48.958,6.012,30.057
49.000,6.014,30.005
49.042,6.015,30.125
49.083,6.013,30.036
49.125,6.012,29.923
49.167,6.013,29.831
49.208,6.011,30.163
49.250,6.012,29.870
49.292,6.011,29.862
49.375,6.013,29.916
49.417,6.014,30.072
49.458,5.672,29.546
49.500,5.671,29.721
49.542,6.010,29.672
49.583,6.008,29.916
49.625,6.008,30.105
49.667,6.009,29.725
49.708,6.010,29.928
49.750,6.011,29.955
49.792,6.010,30.054
49.833,6.010,29.727
49.875,6.011,30.000
49.958,6.009,29.714
50.000,6.010,29.659
50.042,6.011,29.621
50.083,6.009,29.879
50.125,6.009,29.845
50.167,6.009,29.825
50.208,6.010,29.588
50.250,6.010,29.501
50.292,6.009,29.601
50.375,6.009,29.538
50.417,6.010,29.769
50.458,6.009,29.444
50.500,6.010,29.754
50.542,6.011,29.911
50.583,6.010,29.720
50.625,6.011,29.706
50.667,6.010,29.833
50.708,6.010,30.368
50.750,6.010,30.425
50.792,6.012,30.506
50.833,6.011,30.156
50.875,6.011,30.243
50.958,6.011,30.206
51.000,6.010,30.281
51.042,6.012,30.279
51.083,6.011,30.190
51.125,6.011,30.493
51.167,6.011,30.256
51.208,6.010,30.071
51.250,6.010,30.082
51.292,6.010,29.855
51.375,6.011,30.156
51.417,6.014,30.181
51.458,6.014,30.461
51.500,6.014,30.109
51.542,6.014,30.288
51.583,6.013,30.302
51.625,6.014,30.179
51.667,6.014,30.422
51.708,6.013,30.188
51.750,6.013,30.325
51.792,6.014,30.156
51.833,6.014,29.991
51.875,6.014,29.868
51.958,6.014,30.404
52.000,6.013,30.313
52.042,6.014,30.263
52.083,6.015,30.173
52.125,6.013,29.960
52.167,6.012,30.506
52.208,6.012,30.161
52.250,6.012,30.246
52.292,6.011,30.064
52.375,6.012,30.287
52.417,6.013,30.088
52.458,6.012,30.078
52.500,6.013,30.199
52.542,6.013,30.030
52.583,6.014,30.118
52.625,6.012,30.158
52.667,6.012,30.123
52.708,6.013,30.284
52.750,6.013,30.198
52.792,6.012,30.127
52.833,6.012,30.127
52.875,6.014,30.350
52.958,6.012,29.994
53.000,6.012,30.143
53.042,6.013,30.041
53.083,6.014,29.870
53.125,6.014,30.060
53.167,6.014,29.972
53.208,6.013,30.040
53.250,6.013,30.063
53.292,6.013,30.138
53.375,6.014,30.061
53.417,6.014,30.139
53.458,6.014,30.082
53.500,6.015,29.876
53.542,6.014,30.087
53.583,6.015,29.841
53.625,6.014,30.052
53.667,6.014,30.211
53.708,6.015,29.963
53.750,6.014,29.857
53.792,6.014,30.089
53.833,6.013,30.136
53.875,6.014,30.097
53.958,6.014,30.054
54.000,6.014,30.109
54.042,6.014,29.990
54.083,6.013,30.125
54.125,6.014,30.040
54.167,6.013,30.137
54.208,6.015,29.956
