CD,FI3312B,TI3302A
6.008,30.982,89.272
6.008,30.911,89.276
6.008,30.724,89.267
6.007,30.944,89.300
6.009,31.044,89.410
6.011,30.561,89.107
6.012,30.256,88.865
6.012,30.620,89.063
6.014,30.744,89.436
6.013,30.598,89.369
6.012,30.306,89.368
6.012,30.705,89.541
6.013,30.793,89.162
6.013,30.780,88.602
6.012,30.728,89.220
6.012,30.610,89.610
6.013,30.850,89.617
6.012,30.927,89.653
6.009,30.651,89.512
6.011,30.683,89.542
6.012,30.577,89.549
6.010,30.324,89.528
6.011,30.550,89.525
6.011,30.691,89.514
6.010,30.379,89.548
6.010,30.313,89.573
6.012,30.595,89.619
6.013,30.664,89.646
6.013,30.590,89.644
6.013,30.659,89.727
6.015,30.811,89.693
6.016,30.851,89.692
6.016,30.719,89.635
6.014,30.925,89.628
6.015,30.815,89.604
6.013,30.583,89.580
6.012,30.900,89.558
6.013,30.576,89.554
6.011,30.758,89.582
6.011,30.653,89.620
6.014,30.552,89.640
6.014,30.785,89.633
6.013,30.739,89.617
6.014,30.420,89.605
6.013,30.581,89.574
6.011,30.605,89.552
6.011,30.795,89.558
6.012,30.218,89.545
6.014,30.807,89.600
6.015,30.464,89.674
6.017,30.726,89.681
6.015,30.656,89.704
6.015,30.602,89.690
6.017,30.429,89.667
6.017,30.640,89.629
6.015,30.312,89.640
6.014,30.470,89.608
6.013,30.558,89.580
6.014,30.586,89.531
6.013,30.471,89.557
6.014,30.485,89.624
6.012,30.656,89.627
6.013,30.696,89.644
6.014,30.614,89.599
6.013,30.649,89.592
6.013,30.387,89.552
6.014,30.627,89.570
6.013,30.564,89.552
6.013,30.540,89.549
6.013,30.199,89.546
3.677,30.308,87.715
3.678,30.264,87.449
3.678,29.986,87.534
3.678,30.170,87.531
3.679,29.942,87.535
3.678,29.981,87.533
3.678,29.895,87.552
3.677,29.880,87.574
3.677,29.847,87.422
3.677,30.000,87.419
3.677,30.090,87.445
3.678,30.075,87.496
3.677,30.210,87.527
6.012,30.441,88.960
6.013,30.416,88.699
6.010,30.515,88.699
6.010,30.453,88.718
6.012,30.367,88.729
6.013,30.285,88.719
6.012,30.329,88.696
6.011,30.305,88.692
6.011,30.154,88.667
3.677,30.372,87.506
3.677,30.203,87.491
3.679,30.382,87.529
3.678,30.471,87.576
3.678,30.281,87.527
3.677,30.199,87.472
3.679,30.286,87.418
3.677,30.248,87.392
3.676,30.157,86.879
3.676,30.366,86.759
3.676,30.252,86.760
3.675,29.924,87.251
3.676,30.280,88.055
6.012,30.797,89.175
6.010,30.495,88.798
6.011,30.260,88.784
6.011,30.607,88.783
6.012,30.594,88.775
6.011,30.475,88.764
6.011,30.699,88.753
6.010,30.564,88.776
6.012,30.518,88.720
6.011,30.782,88.808
6.014,30.705,88.801
6.013,30.712,88.808
6.014,30.448,88.808
6.014,30.555,88.812
6.015,30.678,88.806
6.012,30.527,89.417
6.013,30.485,89.350
6.014,30.458,89.319
6.014,30.431,89.280
6.013,30.398,89.271
6.012,30.493,89.258
6.012,30.526,89.337
6.012,30.746,89.367
6.014,30.478,89.373
6.012,30.349,89.352
6.012,30.548,89.361
6.011,30.445,89.380
6.011,30.161,89.383
6.013,30.156,89.364
6.012,30.393,89.385
6.012,30.431,89.646
6.012,30.459,89.651
6.013,30.265,89.671
6.012,30.364,89.628
6.013,30.466,89.630
6.013,30.450,89.675
6.013,30.499,89.682
6.013,30.217,89.618
6.013,30.448,89.664
6.013,30.295,89.679
6.014,30.404,89.588
6.015,30.451,89.634
6.012,30.528,89.650
6.012,30.326,89.636
6.014,30.350,89.646
6.014,30.047,89.637
6.014,30.054,89.638
6.012,30.185,89.609
6.013,30.240,89.595
6.014,30.142,89.610
6.012,30.225,89.642
6.012,30.109,89.636
6.011,30.256,89.654
6.012,30.335,88.721
6.012,30.100,88.729
6.013,30.281,88.748
6.013,30.006,88.733
6.013,30.081,88.738
6.013,30.369,88.709
6.014,30.186,88.736
6.013,30.154,88.705
6.012,30.219,88.701
6.013,30.279,88.902
6.012,30.162,88.985
6.013,30.132,89.009
6.013,30.316,88.997
6.012,30.311,88.994
6.013,30.207,88.997
6.014,30.338,89.004
6.015,30.304,89.002
6.014,30.119,88.983
6.014,30.265,88.965
6.013,30.164,88.980
6.012,30.171,88.990
6.013,30.173,88.907
6.012,30.034,89.039
6.013,30.160,89.037
6.013,30.080,89.075
6.013,30.252,88.982
6.015,30.198,88.695
6.015,30.072,88.680
6.016,30.231,88.709
6.015,30.169,88.680
6.014,30.225,88.638
6.015,30.000,88.617
6.014,30.154,88.613
6.014,30.066,88.624
6.014,30.155,88.580
6.014,29.964,88.773
6.014,30.173,88.992
6.014,29.973,89.001
6.014,29.992,88.983
6.012,30.266,88.977
6.012,30.072,88.969
6.013,29.755,88.965
6.015,30.074,88.977
6.012,29.922,88.964
6.012,30.134,88.996
6.013,30.168,88.972
6.013,29.880,89.018
6.015,29.869,89.053
6.017,30.271,88.992
6.013,30.147,89.029
6.014,30.094,89.100
6.015,30.077,88.757
6.014,30.118,88.683
6.015,30.180,88.678
6.015,30.231,88.670
6.014,30.377,88.679
6.013,30.140,88.638
6.015,30.372,88.645
6.013,30.066,88.625
6.013,30.177,88.646
6.014,30.231,88.643
6.014,30.091,88.621
6.012,30.226,88.621
6.013,30.223,88.629
6.014,30.088,88.639
6.012,30.068,88.656
6.013,30.121,88.675
6.013,30.105,88.754
6.014,30.297,88.789
6.014,30.170,88.795
6.014,30.119,88.807
6.015,29.963,88.750
6.016,30.060,88.739
6.016,30.016,88.700
6.014,30.196,88.705
6.016,30.326,88.702
6.015,30.227,88.695
6.016,30.256,88.705
6.014,30.319,88.707
6.012,30.335,88.644
6.014,30.076,88.665
6.014,30.249,88.663
6.015,30.134,88.672
6.014,30.117,88.651
6.014,30.092,88.652
6.014,30.406,88.652
6.016,30.101,88.637
6.017,30.205,88.630
6.014,30.052,88.664
6.014,29.957,88.707
6.018,29.850,88.693
6.016,30.117,88.646
6.018,30.224,88.705
6.017,29.761,88.681
6.015,30.058,88.716
6.016,30.238,88.707
6.015,29.892,88.672
6.019,30.123,88.639
6.016,29.939,88.604
6.017,30.164,88.593
6.017,30.131,88.598
6.017,30.027,88.605
6.014,29.950,88.590
6.014,29.990,88.594
6.015,30.159,88.580
6.014,29.963,88.604
6.012,29.810,88.605
6.012,29.751,88.613
6.013,29.960,88.674
6.014,29.876,88.665
6.014,30.164,88.638
6.014,29.950,88.673
6.015,29.861,88.664
6.015,29.906,88.661
6.015,29.966,88.714
6.016,29.951,88.720
6.015,30.279,88.719
6.016,29.929,88.679
6.016,29.893,88.671
6.014,29.987,88.615
6.014,30.133,88.634
6.016,29.832,88.599
6.015,30.131,88.597
6.015,30.101,88.592
6.014,30.078,88.599
6.014,30.110,88.609
6.015,30.114,88.605
6.014,29.954,88.611
6.013,30.021,88.627
6.014,30.017,88.541
6.014,30.003,88.615
6.013,29.777,88.606
6.014,29.896,88.641
6.014,29.827,88.654
6.013,29.881,88.636
5.211,29.159,86.310
5.578,29.793,87.641
6.011,29.936,88.975
6.013,30.032,89.048
6.013,29.770,89.041
6.014,30.052,88.966
6.013,30.218,88.948
6.010,30.144,88.992
6.012,30.233,89.019
6.014,30.091,89.047
6.012,30.057,89.044
6.014,30.005,88.946
6.015,30.125,88.965
6.013,30.036,88.955
6.012,29.923,88.925
6.013,29.831,88.927
6.011,30.163,88.932
6.012,29.870,88.929
6.011,29.862,88.986
6.013,29.916,89.099
6.014,30.072,89.061
5.672,29.546,88.002
5.671,29.721,88.108
6.010,29.672,89.243
6.008,29.916,89.281
6.008,30.105,89.061
6.009,29.725,89.045
6.010,29.928,89.050
6.011,29.955,89.036
6.010,30.054,89.037
6.010,29.727,89.033
6.011,30.000,88.968
6.009,29.714,89.053
6.010,29.659,89.069
6.011,29.621,89.057
6.009,29.879,89.053
6.009,29.845,89.044
6.009,29.825,89.065
6.010,29.588,89.067
6.010,29.501,89.060
6.009,29.601,89.049
6.009,29.538,89.043
6.010,29.769,89.067
6.009,29.444,89.051
6.010,29.754,89.057
6.011,29.911,89.094
6.010,29.720,89.080
6.011,29.706,88.993
6.010,29.833,89.058
6.010,30.368,88.945
6.010,30.425,88.965
6.012,30.506,89.001
6.011,30.156,88.982
6.011,30.243,88.984
6.011,30.206,88.977
6.010,30.281,89.268
6.012,30.279,89.321
6.011,30.190,89.310
6.011,30.493,89.334
6.011,30.256,89.355
6.010,30.071,89.318
6.010,30.082,89.254
6.010,29.855,89.261
6.011,30.156,89.342
6.014,30.181,89.385
6.014,30.461,89.373
6.014,30.109,89.323
6.014,30.288,89.406
6.013,30.302,89.433
6.014,30.179,89.140
6.014,30.422,89.030
6.013,30.188,88.990
6.013,30.325,88.966
6.014,30.156,89.005
6.014,29.991,88.996
6.014,29.868,89.019
6.014,30.404,89.286
6.013,30.313,89.307
6.014,30.263,89.288
6.015,30.173,89.297
6.013,29.960,89.286
6.012,30.506,89.275
6.012,30.161,89.298
6.012,30.246,89.261
6.011,30.064,89.319
6.012,30.287,89.376
6.013,30.088,89.343
6.012,30.078,89.382
6.013,30.199,89.366
6.013,30.030,89.365
6.014,30.118,89.354
6.012,30.158,89.363
6.012,30.123,89.352
6.013,30.284,89.357
6.013,30.198,89.336
6.012,30.127,89.317
6.012,30.127,89.319
6.014,30.350,89.322
6.012,29.994,89.336
6.012,30.143,89.341
6.013,30.041,89.314
6.014,29.870,89.315
6.014,30.060,89.313
6.014,29.972,89.321
6.013,30.040,89.346
6.013,30.063,89.360
6.013,30.138,89.360
6.014,30.061,89.414
6.014,30.139,89.392
6.014,30.082,89.417
6.015,29.876,89.450
6.014,30.087,89.474
6.015,29.841,89.465
6.014,30.052,89.394
6.014,30.211,89.347
6.015,29.963,89.029
6.014,29.857,89.012
6.014,30.089,89.051
6.013,30.136,89.074
6.014,30.097,89.092
6.014,30.054,89.079
6.014,30.109,89.043
6.014,29.990,89.052
6.013,30.125,89.011
6.014,30.040,89.016
6.013,30.137,89.015
