CD,FI3312A,FI3312B
6.017,29.613,30.726
6.015,29.548,30.656
6.015,29.659,30.602
6.017,29.593,30.429
6.017,29.482,30.640
6.015,28.901,30.312
6.014,28.685,30.470
6.013,29.552,30.558
6.014,28.837,30.586
6.013,29.008,30.471
6.014,29.603,30.485
6.012,29.589,30.656
6.013,28.778,30.696
6.014,29.422,30.614
6.013,29.551,30.649
6.013,29.568,30.387
6.014,29.649,30.627
6.013,28.599,30.564
6.013,29.505,30.540
6.013,29.591,30.199
3.677,18.954,30.308
3.678,18.999,30.264
3.678,18.981,29.986
3.678,18.975,30.170
3.679,18.976,29.942
3.678,18.977,29.981
3.678,18.956,29.895
3.677,18.954,29.880
3.677,18.909,29.847
3.677,18.902,30.000
3.677,18.906,30.090
3.678,18.894,30.075
3.677,18.904,30.210
6.012,28.606,30.441
6.013,28.562,30.416
6.010,28.523,30.515
6.010,28.305,30.453
6.012,28.377,30.367
6.013,28.242,30.285
6.012,28.530,30.329
6.011,28.627,30.305
6.011,28.261,30.154
3.677,18.999,30.372
3.677,19.255,30.203
3.679,19.253,30.382
3.678,19.377,30.471
3.678,19.341,30.281
3.677,19.350,30.199
3.679,19.353,30.286
3.677,19.270,30.248
3.676,19.006,30.157
3.676,18.946,30.366
3.676,18.557,30.252
3.675,19.214,29.924
3.676,19.181,30.280
6.012,28.093,30.797
6.010,28.283,30.495
6.011,28.484,30.260
6.011,28.060,30.607
6.012,28.229,30.594
6.011,28.349,30.475
6.011,28.226,30.699
6.010,28.368,30.564
6.012,28.453,30.518
6.011,28.598,30.782
6.014,28.711,30.705
6.013,28.720,30.712
6.014,28.566,30.448
6.014,28.141,30.555
6.015,28.740,30.678
6.012,28.274,30.527
6.013,28.332,30.485
6.014,28.668,30.458
6.014,28.490,30.431
6.013,28.937,30.398
6.012,28.882,30.493
6.012,28.811,30.526
6.012,28.806,30.746
6.014,28.768,30.478
6.012,28.847,30.349
6.012,28.392,30.548
6.011,28.743,30.445
6.011,28.881,30.161
6.013,28.842,30.156
6.012,28.649,30.393
6.012,28.748,30.431
6.012,28.825,30.459
6.013,28.744,30.265
6.012,28.872,30.364
6.013,28.776,30.466
6.013,28.861,30.450
6.013,28.852,30.499
6.013,28.937,30.217
6.013,28.958,30.448
6.013,28.919,30.295
6.014,28.883,30.404
6.015,28.503,30.451
6.012,29.008,30.528
6.012,28.838,30.326
6.014,28.983,30.350
6.014,28.888,30.047
6.014,29.005,30.054
6.012,28.509,30.185
6.013,28.646,30.240
6.014,28.861,30.142
6.012,28.844,30.225
6.012,28.857,30.109
6.011,28.992,30.256
6.012,28.653,30.335
6.012,28.847,30.100
6.013,28.041,30.281
6.013,28.503,30.006
6.013,28.130,30.081
6.013,28.861,30.369
6.014,28.596,30.186
6.013,28.166,30.154
6.012,28.744,30.219
6.013,28.621,30.279
6.012,28.134,30.162
6.013,28.562,30.132
6.013,28.816,30.316
6.012,28.283,30.311
6.013,28.914,30.207
6.014,28.829,30.338
6.015,28.869,30.304
6.014,28.809,30.119
6.014,28.537,30.265
6.013,28.176,30.164
6.012,28.266,30.171
6.013,28.827,30.173
6.012,28.474,30.034
6.013,28.949,30.160
6.013,28.801,30.080
6.013,28.805,30.252
6.015,28.912,30.198
6.015,28.445,30.072
6.016,28.043,30.231
6.015,28.869,30.169
6.014,28.597,30.225
6.015,28.139,30.000
6.014,28.801,30.154
6.014,28.258,30.066
6.014,28.227,30.155
6.014,28.576,29.964
6.014,28.785,30.173
6.014,28.328,29.973
6.014,28.495,29.992
6.012,28.856,30.266
6.012,28.254,30.072
6.013,28.755,29.755
6.015,28.485,30.074
6.012,28.463,29.922
6.012,28.883,30.134
6.013,28.829,30.168
6.013,28.486,29.880
6.015,28.987,29.869
6.017,28.990,30.271
