DOL,CD,FI3312A,FI3312B
21.833,6.013,29.840,31.774
21.875,6.012,30.008,31.784
21.958,6.012,29.813,31.679
22.000,6.012,29.829,31.884
22.042,6.013,29.880,31.468
22.083,6.012,29.345,31.367
22.125,6.012,29.858,31.462
22.167,6.011,29.747,31.305
22.208,6.013,29.889,31.412
22.250,6.013,29.387,31.628
22.292,6.012,29.690,31.538
22.375,6.014,29.549,31.612
22.417,6.013,29.694,31.651
22.458,6.013,29.943,31.737
22.500,6.013,29.750,31.892
22.542,6.014,29.836,31.707
22.583,6.014,29.810,31.471
22.625,6.014,29.913,31.663
22.667,6.013,29.746,31.502
22.708,6.013,29.712,31.783
22.750,6.013,29.829,31.519
22.792,6.012,29.958,31.612
22.833,6.013,29.769,31.784
22.875,6.013,29.882,31.494
22.958,6.013,29.559,31.586
23.000,6.014,29.712,31.533
23.042,6.012,29.778,31.460
23.083,6.012,29.831,31.567
23.125,6.012,29.909,31.561
23.167,6.011,29.797,31.489
23.208,6.012,29.702,31.477
23.250,6.012,29.845,31.451
23.292,6.010,29.229,31.452
23.375,6.010,29.687,31.687
23.417,6.011,29.873,31.732
23.458,6.009,29.682,31.624
23.500,6.011,29.700,31.665
23.542,6.011,29.519,31.550
23.583,6.011,29.688,31.806
23.625,6.013,29.658,31.490
23.667,6.012,29.432,31.599
23.708,6.012,29.612,31.561
23.750,6.012,29.234,31.578
23.792,6.012,29.137,31.579
23.833,6.011,29.355,31.247
23.875,6.011,29.839,31.692
23.958,6.015,29.223,31.774
24.000,6.012,29.820,31.674
24.042,6.012,29.864,31.635
24.083,6.012,29.632,31.569
24.125,6.013,29.251,31.569
24.167,6.012,29.774,31.629
24.208,6.012,29.458,31.538
24.250,6.013,29.850,31.382
24.292,6.012,29.828,31.549
24.375,6.012,29.779,31.464
24.417,6.011,29.837,31.384
24.458,6.012,28.960,31.344
24.500,6.013,29.165,31.584
24.542,6.014,28.988,31.571
24.583,6.014,29.866,31.465
24.625,6.013,29.632,31.535
24.667,6.013,29.892,31.485
24.708,6.013,29.794,31.509
24.750,6.014,29.879,31.742
24.792,6.012,29.760,31.318
24.833,6.013,29.833,31.507
24.875,6.012,29.581,31.508
24.958,6.013,29.923,31.641
25.000,6.012,29.805,31.560
25.042,6.012,29.929,31.768
25.083,6.010,30.042,31.617
25.125,6.011,29.624,31.552
25.167,6.011,29.737,31.472
25.208,6.011,29.685,31.625
25.250,6.011,29.795,31.533
25.292,6.013,29.800,31.601
25.375,6.013,29.632,31.569
25.417,6.013,29.927,31.628
25.458,6.013,29.745,31.543
25.500,6.013,29.967,31.523
